"city","country","pop2026","pop2025","popGrowth","latitude","longitude","isValidCity","slug"
"Azamgarh","India",116644,,,26.0683,83.1836,false,
"Yelahanka","India",116447,,,13.1007,77.5963,false,
"Gudivada","India",116161,,,16.4355,80.9956,false,
"Baidyabati","India",115504,,,22.785,88.3259,false,
"Basti","India",115115,,,26.7882,82.7162,false,
"Balasore","India",114321,,,21.4927,86.9335,false,
"Dharmavaram","India",114050,,,14.4143,77.7204,false,
"Maler Kotla","India",113840,,,30.5309,75.8795,false,
"Wardha","India",113759,,,20.7393,78.5978,false,
"Jhunjhunun","India",113193,,,28.1256,75.398,false,
"Satara","India",112793,,,17.6859,73.9933,false,
"Chanduasi","India",112635,,,28.4518,78.7828,false,
"Mothihari","India",112144,,,26.6486,84.9166,false,
"Chas","India",112141,,,23.6356,86.1671,false,
"Pudukkottai","India",112118,,,10.3813,78.8214,false,
"Rewari","India",112079,,,28.199,76.6183,false,
"Port Blair","India",112050,,,11.6661,92.7464,false,
"Suriapet","India",111729,,,17.1405,79.6205,false,
"Bangaon","India",111693,,,23.0455,88.8308,false,
"Chhatarpur","India",111594,,,24.9177,79.5887,false,
"Ashoknagar Kalyangarh","India",111475,,,22.8642,88.637,false,
"Achalpur","India",111278,,,21.2567,77.5101,false,
"Navadwip","India",111123,,,23.4067,88.3686,false,
"Barsi","India",110983,,,18.2345,75.6927,false,
"Sultanpur","India",110368,,,26.2579,82.0727,false,
"Ambur","India",109873,,,12.7916,78.7164,false,
"Hoshangabad","India",109358,,,22.7475,77.7274,false,
"Sawai Madhopur","India",108612,,,26.023,76.3441,false,
"Madanapalle","India",108593,,,13.5503,78.5029,false,
"Bansbaria","India",108474,,,22.9539,88.401,false,
"Tadepallegudem","India",108167,,,16.8147,81.5272,false,
"Jalpaiguri","India",107832,,,26.5167,88.7333,false,
"Chittaurgarh","India",106710,,,24.8896,74.624,false,
"Gangawati","India",106250,,,15.4313,76.5293,false,
"Khurja","India",105909,,,28.2538,77.8553,false,
"Ponnani","India",105512,,,10.7669,75.9252,false,
"Barnala","India",105016,,,30.3745,75.5487,false,
"Badlapur","India",104636,,,19.1552,73.2655,false,
"Soyibug","India",104000,,,34.0768,74.7057,false,
"Bagaha","India",103855,,,27.0992,84.09,false,
"Churu","India",103533,,,28.3041,74.9672,false,
"Nagda","India",103501,,,23.4583,75.4176,false,
"Kashipur","India",103138,,,29.214,78.9569,false,
"Ghazipur","India",103095,,,25.5833,83.5853,false,
"Dhaulpur","India",102462,,,26.6929,77.8797,false,
"Mormugao","India",102345,,,15.3891,73.8149,false,
"Ferozepore","India",102130,,,30.9257,74.6131,false,
"Gondal","India",101801,,,21.9607,70.8026,false,
"Seoni","India",101379,,,22.085,79.5504,false,
"Jagadhri","India",101300,,,30.1672,77.3037,false,
"Mirialguda","India",101234,,,16.8722,79.5625,false,
"Udgir","India",101064,,,18.3926,77.1176,false,
"Jamalpur","India",100780,,,25.3126,86.4889,false,
"Nandurbar","India",100703,,,21.3667,74.2405,false,
"Itarsi","India",100574,,,22.6148,77.7622,false,
"Vasco da Gama","India",100485,,,15.3959,73.8157,false,
"Phagwara","India",100146,,,31.2245,75.7739,false,
"Airoli","India",100000,,,19.151,72.9962,false,
"Amreli","India",99742,,,21.5998,71.2117,false,
